Data,Valore
2019-09-01,121
2019-09-02,315
2019-09-03,53
2019-09-04,0
2019-09-05,0
2019-09-06,59
2019-09-07,0
2019-09-08,45
2019-09-09,66
2019-09-10,0
2019-09-11,62
2019-09-12,0
2019-09-13,0
2019-09-14,279
2019-09-15,103
2019-09-16,0
2019-09-17,82
2019-09-18,223
2019-09-19,40
2019-09-20,137
2019-09-21,59
2019-09-22,60
2019-09-23,12
2019-09-24,184
2019-09-25,0
2019-09-26,52
2019-09-27,2
2019-09-28,109
2019-09-29,280
2019-09-30,43
2019-10-01,89
2019-10-02,172
2019-10-03,0
2019-10-04,0
2019-10-05,0
2019-10-06,23
2019-10-07,22
2019-10-08,0
2019-10-09,0
2019-10-10,0
2019-10-11,13
2019-10-12,43
2019-10-13,159
2019-10-14,301
2019-10-15,0
2019-10-16,0
2019-10-17,0
2019-10-18,0
2019-10-19,0
2019-10-20,0
2019-10-21,0
2019-10-22,0
2019-10-23,0
2019-10-24,0
2019-10-25,0
2019-10-26,0
2019-10-27,0
2019-10-28,0
2019-10-29,0
2019-10-30,0
2019-10-31,0
2019-10-01,89
2019-10-02,172
2019-10-03,0
2019-10-04,0
2019-10-05,0
2019-10-06,23
2019-10-07,22
2019-10-08,0
2019-10-09,0
2019-10-10,0
2019-10-11,13
2019-10-12,43
2019-10-13,159
2019-10-14,310
2019-10-15,0
2019-10-16,377
2019-10-17,53
2019-10-18,137
2019-10-19,117
2019-10-20,55
2019-10-21,118
2019-10-22,67
2019-10-23,0
2019-10-24,48
2019-10-25,0
2019-10-26,18
2019-10-27,22
2019-10-28,0
2019-10-29,56
2019-10-30,116
2019-10-31,0
2019-11-01,1
2019-11-02,4
2019-11-03,239
2019-11-04,0
2019-11-05,50
2019-11-06,0
2019-11-07,0
2019-11-08,0
2019-11-09,0
2019-11-10,0
2019-11-11,0
2019-11-12,0
2019-11-13,0
2019-11-14,0
2019-11-15,0
2019-11-16,0
2019-11-17,0
2019-11-18,0
2019-11-19,0
2019-11-20,0
2019-11-21,0
2019-11-22,0
2019-11-23,0
2019-11-24,0
2019-11-25,0
2019-11-26,0
2019-11-27,0
2019-11-28,0
2019-11-29,0
2019-11-30,0
2019-11-01,1
2019-11-02,4
2019-11-03,239
2019-11-04,0
2019-11-05,50
2019-11-06,0
2019-11-07,0
2019-11-08,0
2019-11-09,0
2019-11-10,0
2019-11-11,0
2019-11-12,0
2019-11-13,0
2019-11-14,0
2019-11-15,0
2019-11-16,0
2019-11-17,0
2019-11-18,0
2019-11-19,0
2019-11-20,12
2019-11-21,159
2019-11-22,78
2019-11-23,149
2019-11-24,224
2019-11-25,0
2019-11-26,141
2019-11-27,0
2019-11-28,19
2019-11-29,53
2019-11-30,94
2019-12-01,9
2019-12-02,64
2019-12-03,6
2019-12-04,121
2019-12-05,0
2019-12-06,8
2019-12-07,7
2019-12-08,0
2019-12-09,0
2019-12-10,0
2019-12-11,0
2019-12-12,0
2019-12-13,0
2019-12-14,0
2019-12-15,0
2019-12-16,0
2019-12-17,0
2019-12-18,0
2019-12-19,0
2019-12-20,0
2019-12-21,0
2019-12-22,0
2019-12-23,0
2019-12-24,0
2019-12-25,0
2019-12-26,0
2019-12-27,0
2019-12-28,0
2019-12-29,0
2019-12-30,0
2019-12-31,0
2019-12-01,9
2019-12-02,64
2019-12-03,6
2019-12-04,121
2019-12-05,0
2019-12-06,8
2019-12-07,7
2019-12-08,0
2019-12-09,0
2019-12-10,0
2019-12-11,0
2019-12-12,0
2019-12-13,0
2019-12-14,0
2019-12-15,0
2019-12-16,0
2019-12-17,0
2019-12-18,124
2019-12-19,4
2019-12-20,0
2019-12-21,0
2019-12-22,55
2019-12-23,159
2019-12-24,0
2019-12-25,0
2019-12-26,0
2019-12-27,0
2019-12-28,0
2019-12-29,32
2019-12-30,0
2019-12-31,0
2020-01-01,1
2020-01-02,68
2020-01-03,96
2020-01-04,0
2020-01-05,33
2020-01-06,0
2020-01-07,0
2020-01-08,30
2020-01-09,0
2020-01-10,105
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,9
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-01-01,1
2020-01-02,68
2020-01-03,96
2020-01-04,0
2020-01-05,33
2020-01-06,0
2020-01-07,0
2020-01-08,30
2020-01-09,0
2020-01-10,105
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,9
2020-01-15,185
2020-01-16,152
2020-01-17,56
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,39
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,96
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,403
2020-01-30,0
2020-01-31,2
2020-02-01,15
2020-02-02,394
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,26
2020-02-12,0
2020-02-13,158
2020-02-14,75
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-02-01,15
2020-02-02,394
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,26
2020-02-12,0
2020-02-13,158
2020-02-14,75
2020-02-15,4
2020-02-16,27
2020-02-17,24
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,276
2020-02-24,0
2020-02-25,18
2020-02-26,0
2020-02-27,194
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,57
2020-03-13,128
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,57
2020-03-13,85
2020-03-14,43
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,12
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,44
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,34
2020-04-07,86
2020-04-08,57
2020-04-09,6
2020-04-10,73
2020-04-11,0
2020-04-12,101
2020-04-13,77
2020-04-14,0
2020-04-15,3
2020-04-16,0
2020-04-17,0
2020-04-18,0
2020-04-19,0
2020-04-20,0
2020-04-21,0
2020-04-22,0
2020-04-23,0
2020-04-24,0
2020-04-25,0
2020-04-26,0
2020-04-27,0
2020-04-28,0
2020-04-29,0
2020-04-30,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,34
2020-04-07,86
2020-04-08,57
2020-04-09,6
2020-04-10,73
2020-04-11,0
2020-04-12,101
2020-04-13,77
2020-04-14,0
2020-04-15,10
2020-04-16,1
2020-04-17,0
2020-04-18,38
2020-04-19,0
2020-04-20,0
2020-04-21,0
2020-04-22,0
2020-04-23,32
2020-04-24,0
2020-04-25,56
2020-04-26,0
2020-04-27,0
2020-04-28,100
2020-04-29,0
2020-04-30,0
2020-05-01,0
2020-05-02,78
2020-05-03,44
2020-05-04,316
2020-05-05,10
2020-05-06,192
2020-05-07,0
2020-05-08,0
2020-05-09,79
2020-05-10,0
2020-05-11,0
2020-05-12,10
2020-05-13,43
2020-05-14,0
2020-05-15,0
2020-05-16,0
2020-05-17,0
2020-05-18,0
2020-05-19,0
2020-05-20,0
2020-05-21,0
2020-05-22,0
2020-05-23,0
2020-05-24,0
2020-05-25,0
2020-05-26,0
2020-05-27,0
2020-05-28,0
2020-05-29,0
2020-05-30,0
2020-05-31,0
2020-05-01,0
2020-05-02,78
2020-05-03,44
2020-05-04,316
2020-05-05,10
2020-05-06,192
2020-05-07,0
2020-05-08,0
2020-05-09,79
2020-05-10,0
2020-05-11,0
2020-05-12,0
2020-05-13,53
2020-05-14,0
2020-05-15,0
2020-05-16,68
2020-05-17,2
2020-05-18,0
2020-05-19,0
2020-05-20,137
2020-05-21,1
2020-05-22,7
2020-05-23,97
2020-05-24,178
2020-05-25,40
2020-05-26,71
2020-05-27,0
2020-05-28,186
2020-05-29,0
2020-05-30,0
2020-05-31,95
2020-06-01,42
2020-06-02,137
2020-06-03,60
2020-06-04,103
2020-06-05,0
2020-06-06,0
2020-06-07,11
2020-06-08,0
2020-06-09,0
2020-06-10,0
2020-06-11,49
2020-06-12,5
2020-06-13,61
2020-06-14,0
2020-06-15,52
2020-06-16,0
2020-06-17,0
2020-06-18,0
2020-06-19,0
2020-06-20,0
2020-06-21,0
2020-06-22,0
2020-06-23,0
2020-06-24,0
2020-06-25,0
2020-06-26,0
2020-06-27,0
2020-06-28,0
2020-06-29,0
2020-06-30,0
2020-06-01,42
2020-06-02,137
2020-06-03,60
2020-06-04,103
2020-06-05,0
2020-06-06,0
2020-06-07,11
2020-06-08,0
2020-06-09,0
2020-06-10,0
2020-06-11,49
2020-06-12,5
2020-06-13,59
2020-06-14,0
2020-06-15,52
2020-06-16,0
2020-06-17,59
2020-06-18,90
2020-06-19,55
2020-06-20,132
2020-06-21,211
2020-06-22,0
2020-06-23,0
2020-06-24,169
2020-06-25,223
2020-06-26,1
2020-06-27,37
2020-06-28,115
2020-06-29,82
2020-06-30,1
2020-07-01,258
2020-07-02,106
2020-07-03,0
2020-07-04,0
2020-07-05,54
2020-07-06,180
2020-07-07,6
2020-07-08,0
2020-07-09,138
2020-07-10,698
2020-07-11,362
2020-07-12,209
2020-07-13,349
2020-07-14,337
2020-07-15,59
2020-07-16,0
2020-07-17,0
2020-07-18,0
2020-07-19,0
2020-07-20,0
2020-07-21,0
2020-07-22,0
2020-07-23,0
2020-07-24,0
2020-07-25,0
2020-07-26,0
2020-07-27,0
2020-07-28,0
2020-07-29,0
2020-07-30,0
2020-07-31,0
2020-07-01,252
2020-07-02,112
2020-07-03,0
2020-07-04,0
2020-07-05,54
2020-07-06,180
2020-07-07,6
2020-07-08,0
2020-07-09,138
2020-07-10,698
2020-07-11,360
2020-07-12,198
2020-07-13,351
2020-07-14,337
2020-07-15,128
2020-07-16,0
2020-07-17,9
2020-07-18,0
2020-07-19,0
2020-07-20,83
2020-07-21,385
2020-07-22,697
2020-07-23,336
2020-07-24,416
2020-07-25,279
2020-07-26,117
2020-07-27,402
2020-07-28,519
2020-07-29,337
2020-07-30,284
2020-07-31,92
2020-08-01,305
2020-08-02,85
2020-08-03,336
2020-08-04,90
2020-08-05,0
2020-08-06,0
2020-08-07,0
2020-08-08,0
2020-08-09,0
2020-08-10,102
2020-08-11,219
2020-08-12,147
2020-08-13,106
2020-08-14,28
2020-08-15,16
2020-08-16,0
2020-08-17,0
2020-08-18,0
2020-08-19,0
2020-08-20,0
2020-08-21,0
2020-08-22,0
2020-08-23,0
2020-08-24,0
2020-08-25,0
2020-08-26,0
2020-08-27,0
2020-08-28,0
2020-08-29,0
2020-08-30,0
2020-08-31,0
2020-08-01,305
2020-08-02,85
2020-08-03,336
2020-08-04,90
2020-08-05,0
2020-08-06,0
2020-08-07,0
2020-08-08,0
2020-08-09,0
2020-08-10,103
2020-08-11,216
2020-08-12,146
2020-08-13,109
2020-08-14,35
2020-08-15,70
2020-08-16,447
2020-08-17,404
2020-08-18,235
2020-08-19,220
2020-08-20,341
2020-08-21,295
2020-08-22,0
2020-08-23,50
2020-08-24,0
2020-08-25,0
2020-08-26,65
2020-08-27,220
2020-08-28,661
2020-08-29,228
2020-08-30,516
2020-08-31,0
2020-09-01,51
2020-09-02,371
2020-09-03,160
2020-09-04,33
2020-09-05,22
2020-09-06,15
2020-09-07,0
2020-09-08,127
2020-09-09,255
2020-09-10,205
2020-09-11,43
2020-09-12,201
2020-09-13,145
2020-09-14,74
2020-09-15,0
2020-09-16,0
2020-09-17,0
2020-09-18,0
2020-09-19,0
2020-09-20,0
2020-09-21,0
2020-09-22,0
2020-09-23,0
2020-09-24,0
2020-09-25,0
2020-09-26,0
2020-09-27,0
2020-09-28,0
2020-09-29,0
2020-09-30,0
2020-09-01,51
2020-09-02,371
2020-09-03,160
2020-09-04,33
2020-09-05,22
2020-09-06,15
2020-09-07,0
2020-09-08,127
2020-09-09,254
2020-09-10,205
2020-09-11,43
2020-09-12,201
2020-09-13,146
2020-09-14,74
2020-09-15,34
2020-09-16,122
2020-09-17,179
2020-09-18,346
2020-09-19,269
2020-09-20,667
2020-09-21,482
2020-09-22,132
2020-09-23,71
2020-09-24,29
2020-09-25,144
2020-09-26,0
2020-09-27,0
2020-09-28,65
2020-09-29,95
2020-09-30,43
2020-10-01,62
2020-10-02,314
2020-10-03,78
2020-10-04,152
2020-10-05,58
2020-10-06,110
2020-10-07,0
2020-10-08,4
2020-10-09,88
2020-10-10,604
2020-10-11,559
2020-10-12,72
2020-10-13,93
2020-10-14,0
2020-10-15,0
2020-10-16,0
2020-10-17,0
2020-10-18,0
2020-10-19,0
2020-10-20,0
2020-10-21,0
2020-10-22,0
2020-10-23,0
2020-10-24,0
2020-10-25,0
2020-10-26,0
2020-10-27,0
2020-10-28,0
2020-10-29,0
2020-10-30,0
2020-10-31,0
2020-10-01,62
2020-10-02,314
2020-10-03,78
2020-10-04,153
2020-10-05,58
2020-10-06,109
2020-10-07,0
2020-10-08,4
2020-10-09,88
2020-10-10,609
2020-10-11,555
2020-10-12,71
2020-10-13,93
2020-10-14,0
2020-10-15,0
2020-10-16,0
2020-10-17,19
2020-10-18,117
2020-10-19,111
2020-10-20,112
2020-10-21,380
2020-10-22,23
2020-10-23,129
2020-10-24,50
2020-10-25,54
2020-10-26,142
2020-10-27,0
2020-10-28,133
2020-10-29,0
2020-10-30,0
2020-10-31,0
2020-11-01,558
2020-11-02,583
2020-11-03,923
2020-11-04,302
2020-11-05,287
2020-11-06,299
2020-11-07,256
2020-11-08,105
2020-11-09,53
2020-11-10,206
2020-11-11,200
2020-11-12,239
2020-11-13,252
2020-11-14,571
2020-11-15,0
2020-11-16,0
2020-11-17,0
2020-11-18,0
2020-11-19,0
2020-11-20,0
2020-11-21,0
2020-11-22,0
2020-11-23,0
2020-11-24,0
2020-11-25,0
2020-11-26,0
2020-11-27,0
2020-11-28,0
2020-11-29,0
2020-11-30,0
2020-11-01,558
2020-11-02,582
2020-11-03,924
2020-11-04,302
2020-11-05,287
2020-11-06,299
2020-11-07,261
2020-11-08,105
2020-11-09,53
2020-11-10,206
2020-11-11,201
2020-11-12,239
2020-11-13,253
2020-11-14,571
2020-11-15,67
2020-11-16,117
2020-11-17,71
2020-11-18,0
2020-11-19,177
2020-11-20,0
2020-11-21,0
2020-11-22,0
2020-11-23,0
2020-11-24,0
2020-11-25,66
2020-11-26,0
2020-11-27,0
2020-11-28,0
2020-11-29,21
2020-11-30,0
2020-12-01,26
2020-12-02,76
2020-12-03,0
2020-12-04,0
2020-12-05,72
2020-12-06,182
2020-12-07,0
2020-12-08,0
2020-12-09,0
2020-12-10,0
2020-12-11,0
2020-12-12,0
2020-12-13,0
2020-12-14,0
2020-12-15,0
2020-12-16,0
2020-12-17,0
2020-12-18,0
2020-12-19,0
2020-12-20,0
2020-12-21,0
2020-12-22,0
2020-12-23,0
2020-12-24,0
2020-12-25,0
2020-12-26,0
2020-12-27,0
2020-12-28,0
2020-12-29,0
2020-12-30,0
2020-12-31,0
2020-12-01,26
2020-12-02,76
2020-12-03,0
2020-12-04,0
2020-12-05,72
2020-12-06,182
2020-12-07,0
2020-12-08,0
2020-12-09,0
2020-12-10,0
2020-12-11,0
2020-12-12,0
2020-12-13,0
2020-12-14,0
2020-12-15,306
2020-12-16,71
2020-12-17,98
2020-12-18,4
2020-12-19,72
2020-12-20,98
2020-12-21,119
2020-12-22,58
2020-12-23,118
2020-12-24,241
2020-12-25,18
2020-12-26,12
2020-12-27,0
2020-12-28,0
2020-12-29,0
2020-12-30,0
2020-12-31,20
2021-01-01,0
2021-01-02,0
2021-01-03,0
2021-01-04,265
2021-01-05,0
2021-01-06,0
2021-01-07,7
2021-01-08,0
2021-01-09,15
2021-01-10,0
2021-01-11,53
2021-01-12,0
2021-01-13,0
2021-01-14,0
2021-01-15,0
2021-01-16,0
2021-01-17,0
2021-01-18,0
2021-01-19,0
2021-01-20,0
2021-01-21,0
2021-01-22,0
2021-01-23,0
2021-01-24,0
2021-01-25,0
2021-01-26,0
2021-01-27,0
2021-01-28,0
2021-01-29,0
2021-01-30,0
2021-01-31,0
2021-01-01,0
2021-01-02,0
2021-01-03,0
2021-01-04,265
2021-01-05,0
2021-01-06,0
2021-01-07,7
2021-01-08,0
2021-01-09,15
2021-01-10,0
2021-01-11,53
2021-01-12,0
2021-01-13,0
2021-01-14,0
2021-01-15,0
2021-01-16,0
2021-01-17,0
2021-01-18,0
2021-01-19,18
2021-01-20,21
2021-01-21,0
2021-01-22,0
2021-01-23,1
2021-01-24,0
2021-01-25,492
2021-01-26,0
2021-01-27,0
2021-01-28,25
2021-01-29,59
2021-01-30,83
2021-01-31,0
2021-02-01,0
2021-02-02,0
2021-02-03,56
2021-02-04,418
2021-02-05,146
2021-02-06,67
2021-02-07,0
2021-02-08,453
2021-02-09,54
2021-02-10,0
2021-02-11,0
2021-02-12,106
2021-02-13,2
2021-02-14,0
2021-02-15,0
2021-02-16,0
2021-02-17,0
2021-02-18,0
2021-02-19,0
2021-02-20,0
2021-02-21,0
2021-02-22,0
2021-02-23,0
2021-02-24,0
2021-02-25,0
2021-02-26,0
2021-02-27,0
2021-02-28,0
2021-02-01,0
2021-02-02,0
2021-02-03,56
2021-02-04,418
2021-02-05,146
2021-02-06,67
2021-02-07,0
2021-02-08,453
2021-02-09,54
2021-02-10,0
2021-02-11,0
2021-02-12,106
2021-02-13,2
2021-02-14,0
2021-02-15,0
2021-02-16,145
2021-02-17,182
2021-02-18,264
2021-02-19,505
2021-02-20,292
2021-02-21,92
2021-02-22,336
2021-02-23,0
2021-02-24,148
2021-02-25,164
2021-02-26,328
2021-02-27,90
2021-02-28,36
2021-03-01,371
2021-03-02,0
2021-03-03,0
2021-03-04,363
2021-03-05,0
2021-03-06,16
2021-03-07,0
2021-03-08,125
2021-03-09,187
2021-03-10,0
2021-03-11,0
2021-03-12,5
2021-03-13,41
